Names,Meanings,Sentences,Collocations,Tags,Pronunciations,Level,Name
a large number of A,非常に多くの〜,,汎用,程度,,,a large number of A
a bunch of A,たくさんの〜,,汎用,程度,,,a bunch of A
upon doing,〜すると同時に,Article/work from OpenAlex is cached in our own database upon opening. OpenAlexから取得した記事は、開くと同時に弊社独自のデータベースに一時的に保存されます,,時間,,,upon doing
from the beginning,最初から、もともと,,,時間,,,from the beginning
today's,現代の,"*I imagine their descendants, with their spirit of challenge, are active in today's Silicon Valley!",,時間,,,today's
this time of year,この時期,My allergies are starting up. I hate this time of year.,,時間,,,this time of year
the[that] day,当日、その日,Please pick them up and drop them off on that day.,,時間,,,the[that] day
the other day,この前、この間,We were talking about that movie just the other day.,,時間,,,the other day
the day[week/month/year/night] before -,〜の前日,I'm going to startPlease pick them up and drop them off on that day. packing the day before I leave.,,時間,,,the day[week/month/year/night] before -
stay up late,遅くまで起きている、夜更かしする,I have a bad habit of staying up late.,,時間,,,stay up late
since a long while ago,ずっと,,,時間,,,since a long while ago
same as before,今まで通り,,,時間,,,same as before
push back,ずらす、延期する,"We decided to push our baseball game back for a week because it looks like it will rain heavily. 明日の野球の試合は雨が強そうだから延期することにしたよ
Do you mind if we push back our Skype meeting?",,"ビジネス, 動作, 時間",,,push back
postpone,延期する,"I’m sorry for the short notice, but is it possible to postpone tomorrow’s meeting to next Monday? 急で申し訳ありませんが、会議を来週の月曜日に延期することはできますか？",,時間,,,postpone
only N days left to[until/before] A,Aまで残りN日しかない,There are only 13 days left until Christmas. クリスマスまであと13日しかない,,時間,,,only N days left to[until/before] A
"once-a-week[month/year]
twice-a-week[month/year]
three-times-a-week[month/year]","週[月/年]に1回の
週[月/年]に2回の
週[月/年]に3回の",*We have a twice-a-week regular meeting for reviewing software design.,,時間,,,once-a-week[month/year]
now or never,今しかない、二度とない,"I feel it’s now or never to have a third child.
Do it now or never!",,時間,,,now or never
now and then,時々,"Now and then I see a famous film star at my favorite restaurant. 私のお気に入りのレストランで、時々有名な映画スターを見かける
I see this happen now and then. 時々こういうことがあります",,時間,,,now and then
"never-ending
unending",終わらない,Housework is a never-ending task.,,時間,,,never-ending
most of the time,大抵の場合,"Most of the time when I give a speech, I get nervous. スピーチをするときほとんどの場合は緊張する",,時間,,,most of the time
moment,,,,時間,,,moment
"long-term
short-term","長い期間の
短い期間の","*My long-term goal is to be able to speak English like a native speaker.
This is a long-term problem and not one that will be easily solved.
My short-term memory is failing.","plan
goal
problem
relationship
investment
contract
memory","ビジネス, 時間",,,long-term
just this once,今回だけは,I'll look over your mistake only this time. 今回だけは君の間違いを多めに見てあげよう,,時間,,,just this once
it has been N days since I last did,N日経過した,It’s been 5 days since I last took an English lesson. もう5日も英語のレッスンをしていません,,時間,,,it has been N days since I last did
"initial
initially
initiate","最初の、初めの
最初は、当初は
開始する、初歩的なことを教える","The initial growth of my subscriber numbers was fast, but it slowed down all of a sudden.
I didn't realize it initially, but I think I started falling in live with Lucas pretty soon after meeting hem.
I was initiated into swimming when I was two years old.",,時間,,,initial
in time,やがて、間に合って,"You'll get used to the work in time. いずれ仕事に慣れるだろう
I won’t be home in time for dinner. 夕食の時間に帰るのは間に合わない",,時間,,,in time
in this day and age,今の時代,Computers are essential to getting work done in this day and age.,,時間,,,in this day and age
in the meantime,それまでの間,"She will get popcorn. In the meantime, can you get the tickets?
The movie starts at eight o’clock. In the meantime, let’s get a coffee.",,"時間, 論理",,,in the meantime
in future,今後,This skill will help you in future. このスキルはこれからあなたの役に立つでしょう,,時間,,,in future
hardly ever,ほとんど〜ない,,,時間,,,hardly ever
"half[part] way through (A)
halfway through (A)",〜の途中から、〜の途中で,"I fell asleep half way through the game.
I will join the meeting part way through. = I will join part way through the meeting.
He left halfway through the ceremony.",,時間,,,half[part] way through (A)
from now on,今後,"From now on, we will follow this rule. これからはこのルールでいきます",,時間,,,from now on
for the next few[several] years,今後数年間,,,時間,,,for the next few[several] years
for the moment,今のところ、とりあえず今は,,,時間,,,for the moment
for the first time since A,〜以来、〜の後初めて,,,時間,,,for the first time since A
for the first time in forever[my life],生まれて初めて,,,時間,,,for the first time in forever[my life]
for the first time in a long time,久しぶりに,"For the first time in a long time, I played baseball.",,時間,,,for the first time in a long time
extend,延長する,"Unfortunately, his probation period will need to be extended. 彼の試用期間を延長するしかなさそうです",,時間,,,extend
"every two days / every other day
every three[therd] days","一日おきに(二日に一回)
二日おきに(三日に一回)",,,"時間, 論理",,,every two days / every other day
ever after[since],それ以来ずっと,,,時間,,,ever after[since]
"during the day
during[in] (the) daytime",昼間、日中,"No one is at home during the day.
It was hot during the day but chilly at night.
*I was working during the day and I watched a movie at night.
You don't often see this bird in (the) daytime.
The park is open during (the) daytime.",,時間,,,during the day
"day in (and[,]) day out",来る日も来る日も,"I need to go to the office day in, day out. 私は来る日も来る日も職場へ行く必要がある
I have to do the same boring jobs day in day out.
*She had to take care of her mother while she was sick day in and day out.",,時間,,,"day in (and[,]) day out"
"day by day
year by year","日に日に
年々","Day by day, the situation is becoming more complex.
I felt myself growing stronger day by day.
Year by year their affection for each other grew stronger.",,時間,,,day by day
"daily
weekly
monthly
yearly","1日に1回の、1日ごとの
1週間に1回の、1週間ごとの
1月に1回の、1月ごとの
1年に1回の、1年ごとの",The magazine is issued twice yearly (= twice every year).,,時間,,,daily
"comparable
comparison
compared to before","匹敵する
比較
昔と比べると",,,"時間, 良さ",,,comparable
at this pace[rate],このペースでいけば、このままいけば,"At this rate, we're never going to get to Osaka, so no more toilet breaks for the rest of the trips. このペースだといつまでも大阪につかないから、もうトイレ休憩はなしね",,時間,,,at this pace[rate]
at the age of N,〜歳のときに,,,時間,,,at the age of N
as of XX,〜をもって、〜以降は、〜の時点で、〜現在は,"As of January 1, I plan to stop eating chocolate. 1月1日以降は、チョコを食べるのをやめる予定だ
The company announced that as of next month its CEO will be retiring. その会社は翌月以降は、CEOが退任すると発表した
Your license will expire as of March next year. あなたのライセンスは来年3月に期限が切れるだろう
According to a national survey the population of that town is 215,455 as of June 2016. 全国調査によるとあの街の人口は2016年6月現在、215,455人です
As of this writing the murderer still has not been found. 執筆時点でその殺人者はまだ見つかっていない
As of now, I’m quitting smoking. 現時点で、たばこをやめている",,時間,,,as of XX
as it used to be,昔のように、昔と同じくらい,"The country inn was as pleasant as it used to be in the old days. そのいなかの宿屋は昔と変わらずに感じがよかった
This city is not so busy as it used to be. この街は昔のように賑わっていない",,時間,,,as it used to be
"alter
alternate
alternative
alternatively","変わる、変える、代替する
交互の、交互に起こる
代わりの、代替の、代わりになるもの、代替案
代わりに","John has to work on alternate Sundays. ジョンは日曜日も2回に1回出勤しなければならない
An alternative venue for the concert is being sought.
In Los Angeles many companies encourage their employees to use alternative means of transportation, rather than the car.
We could go to the Indian restaurant, or alternatively, we could try that new Italian place.",,時間,,,alter
almost always,ほとんどいつも,,,時間,,,almost always
accompany,同行する、付き添う、添える、伴って起こる、同時に起こる,"I'd be delighted to accompany you. 喜んでお供させていただきます
Let me accompany you to your house. 私にあなたのお宅までお供させてください
Payment must accompany order. 注文時にお支払いいただきます
Accompanying this document is our bill amounting to US$120. この書類と共に120ドルの請求書をお送り致します",,時間,,,accompany
while you're at it,ついでに,"Can you turn on the AC while you’re at it? ついでにエアコンを付けてくれる？
Can you get gas while you’re at it? ついでにガソリンを入れてきてくれる？",,依頼,,,while you're at it
I would appreciate it if - did -,〜だと幸いです、〜していただきたいです,"I would appreciate it if you could get back to me by tomorrow. 明日までにご連絡頂けると幸いです
I’d appreciate it if you didn't post my pictures without my permission. 私の許可なしに写真を掲載しないでいただきたいです",,依頼,,,I would appreciate it if - did -
having a hard time with,〜に困っている,He was having a hard time eating ice cream with a spoon.,,感情,,,having a hard time with
"touching
touchy","感動的な
神経質な、怒りっぽい、扱いづらい、厄介な","I find his devotion to her rather touching.
He's a little touchy about his weight.
I can’t understand why her resignation is still such a touchy subject.
*I've heard that politics is a touchy topic to talk about in the U.S.","story
moment
person
problem[issue]
topic[subject]
situation","人, 感情",,,touching
That's a relief.,(それを聞いて)ほっとしてる、安心しました,,,感情,,,That's a relief.
tell off,叱る,Somebody should tell off that rude boy.,,感情,,,tell off
"sympathize
sympathy","同情する
同情","I can see where you'd sympathize with him.
I sympathize with his way of thinking.
I wish he'd show me a little more sympathy.
I have no sympathy for Jan—it's all her own fault.",,感情,,,sympathize
sink in,実感が湧く、理解する,"It's finally starting to sink in that I got the job that I wanted.
It hasn't sunk in yet. まだピンとこない
At the time, I didn't understand why she gave me that advice, but it's slowly sinking in now.",,感情,,,sink in
shame,恥、恥じる気持ち、残念,"That child is completely without shame! あの子供は恥ということを知らないのか
*It's a shame that it's raining. 雨が降っているのは残念です
What a shame they couldn't come. 彼らが来れなかったのは残念だ",,感情,,,shame
scream (at A),叫ぶ,,,感情,,,scream (at A)
"scare
scaring
scared of A",,"I'm scared of flying. 飛行機に乗るのが怖いです
*I'm scared of cramped spaces.",,感情,,,scare
"rest
rest up
restless","休む
十分に休む
落ち着きのない、そわそわする","I figured you were exhausted from the long flight. Rest up tonight and we’ll meet tomorrow. 長時間のフライトでくたくたでしょう。今晩はゆっくり休んでまた明日会いましょう
The constant rain made him feel restless. 雨が降り続き、彼は落ち着かなかった",,感情,,,rest
"resent
resentment","不快に思う、腹を立てる
恨み、腹立たしさ","The children resented the new woman in their father’s life.
He bitterly resents being treated like a child.",,感情,rɪˈzent,,resent
"nerve
nervous
nervously","度胸、神経
緊張した、神経質な
緊張して、不安な様子で","I don't have the nerve to tell her that she has a nose hair sticking out. 彼女に鼻毛が出てるなんて言う勇気ないよ
I still can't believe she had the nerve to come uninvided. 彼女が招待もされていないのにやってくる度胸を持ち合わせていたとは未だに信じられない
Stop shaking your legs! It's getting on my nerves. 貧乏ゆすりやめて。イライラするから
I'm only nervous around Noah because I really like him.
I was nervously waiting for him because I've been stood up so many times. これまで何回もドタキャンされてるから不安な気持ちで彼のこと待ってたよ",,"人, 感情",,,nerve
"mood
moody","気分、機嫌、気持ち
気分屋な、気まぐれな",,,"人, 感情",,,mood
misfortune,不幸,You shouldn't laugh at people's misfortune.,,感情,,,misfortune
it concerns me that -,〜が心配だ,"It concerns me that you no longer seem to care. あなたがもはや気にしていないように見えるのが気になります
It really concerns me that he doesn't eat properly.",構文,感情,,,it concerns me that -
it (still) hasn't sunk in yet,実感が湧いていない,We are the champions! It still hasn't sunk in yet.,,感情,,,it (still) hasn't sunk in yet
"insecure
insecurity","不安な
不安",,,感情,,,insecure
I've had enough (of A),"〜はもういっぱいだ
〜にはもううんざりだ","I've had enough. もう十分いただきました
**I've had enough of the restricted life.
I've had enough of your stupid remarks. 君のくだらない意見にはもううんざりだ",,感情,,,I've had enough (of A)
I can't get A out of my head,〜が頭から離れない,"I can’t get this song out of my head.
I can’t get what he said out of my head.",,"好み, 感情",,,I can't get A out of my head
grumpy,機嫌が悪い、気難しい,Alexa refuses to answer my questions. I guess she's a bit grumpy today.,,"人, 感情",,,grumpy
freak out,驚かせる、パニックにさせる、激怒させる、イライラさせる,"It freaked me out! 怖かった！
She’s freaking me out. 彼女のせいで頭がおかしくなりそう
He’s going to freak out if he finds out. それを知ったら彼、とんでもなく怒るだろうな
I lost my wallet and I’m freaking out. やばい、財布失くした！",,感情,,,freak out
"for fear of A
for fear that",〜を恐れて,"I took my umbrella for fear of rain.
Shut the window for fear of catching a cold.
We didn't tell her the truth for fear she would be angry. 彼女が怒るのを恐れて、私たちは本当のことを言わなかった
I left home early in the morning for fear that I would miss the first train. 始発に乗り遅れないように朝早く家を出た",,感情,,,for fear of A
"fight
have a fight (with A)","戦い、争い、喧嘩、格闘、闘争心、戦う、喧嘩する、格闘する
〜と喧嘩する、〜と格闘する、〜に苦戦する","These men fought for their country.
They fought bravely against the enemy.
I had a fight with the ticket machine, which was being difficult.
Did you have a fight with him?
We had a fight over money.
*Older people tend to have a fight with machines or electronic devices, so even if Japan has advanced technologies, they are not easily introduced to daily lives.",,感情,,,fight
feel guilty,罪悪感に駆られる,I feel guilty when I'm not productive.,,感情,,,feel guilty
exhaust,疲れさせる、使い果たす、排ガス、排出,"The experience had exhausted her physically and emotionally.
Within three days they had exhausted their supply of food.
My patience is exhausted. 私の忍耐は尽きました",,感情,,,exhaust
"empathize
empathy","共感する
共感","I know what it's like to have migraines, so I really sympathize with you. 偏頭痛の辛さが分かるので、あなたの気持ちがよくわかります
She had a deep empathy with animals.
The nurse should try to develop empathy between herself and the patient.",,感情,,,empathize
deep inside (sb's heart),心の奥では,"My mom acts like she doesn't care about me, but I know deep inside her heart she loves me.",,感情,,,deep inside (sb's heart)
deciding between A and B,〜と〜で迷っている,I’m deciding between the pasta and the steak. パスタかステーキかどっちにしようかな,汎用,感情,,,deciding between A and B
cozy,心地よい、温かい、親密な、結託した,The firm has a cozy relationship with the Department of Defense.,,感情,,,cozy
content,内容、満足した,She seemed quite content with the idea.,,"便利, 感情",,,content
"comfort
comfortable[comfy]
comforting
confortingly
comfortless","安心させる、慰める、快適さ、心地よさ
快適な、心地よい
気分が安らぐ、励みになる
励ますように、なだめるように
不快な、慰めにならない","I didn't want to leave the comfort of my bed.
*I wear contact lenses for comfort rather than looks.
These sweats are so comfy.
In the mornings, I like to sit in my comfy chair and plan the day.
Thank you for your comforting words.
This place is very relaxing and comforting.
It’s comforting to know that I have the support of my family. 家族のサポートがあるのは心強いです
It's comforting to know that you'll be there. あなたが居てくれるというのは安心できる
Hearing all the familiar sounds around the house was strangely comforting.",,感情,ˈkʌmfərt,,comfort
bitter,苦い、辛い、厳しい,"She is very bitter about losing her job.
I feel very bitter about my childhood and all that I went through.
She learned through bitter experience that he was not to be trusted.",,"感情, 料理",,,bitter
"tolerant / intolerant
tolerance","耐性がある、寛大な / 寛容でない、我慢できない
我慢、容認、許容度、許容量","I have very little tolerance of the cold. 私は、寒さにとにかく弱い
My friend has a high alcohol tolerance, so he can handle several drinks without feeling intoxicated. 私の友人はアルコールの許容量が高いので、何杯か飲んでも酔わない",,"人, 良さ",,,tolerant / intolerant
clumsy,不器用な、ぎこちない,I spilt your coffee. Sorry—that was clumsy of me.,,人,,,clumsy
untidy,片付けられない、乱雑な,,,人,,,untidy
undecisive,優柔不断な,,,人,,,undecisive
tolerant,寛大な,,,人,,,tolerant
tight with money,ケチな,,,人,,,tight with money
tidy,綺麗好きな,,,人,,,tidy
"thought
thoughtful
thoughtfully
thoughtfulness","考え、意見
思いやりのある、考え込んだ、気が利く？
思いやって、考え込んで
思いやりのあること、考え込むこと",,,"人, 便利",,,thought
talkative,口数が多い、話しやすい,,,人,,,talkative
"talent
talented","才能
才能のある",,,"人, 便利",,,talent
"support
supportive","協力する、支持する
協力的な",,,人,,,support
"style
stylish","やり方、方法、形式
おしゃれな、センスのある","I like your style. あなたのやり方はいいですね
He adapted his acting style to suit the material. 彼は自分の演技方法を素材に合わせて変えた
Her style differs from that of many of her contemporaries. 彼女のやり方は他の同時代のアーティストとは異なる
The article is written in a conversational style. その記事は会話形式で書かれている
Jack is quite stylish.",,"人, 便利, 良さ",,,style
street smart,生きる力がある、経験から学ぶような,"Mike didn’t go to college, but he’s street smart.
He is book smart and graduated from Tokyo uni, but he’s not street smart at all.
They may not look like it, but they are, in fact, street-smart youngsters.",単語,人,,,street smart
"straightforward
straightforwardly
straightforwardness",わかりやすい、複雑でない、正直な、素直な,"It's a relatively straightforward process.
I thought setting up Google Home would be complicated, but it was straightforward.
The answer to this question is deceptively straightforward.
It's quite straightforward to get here from your house.",,人,,,straightforward
spontaneous,自発的な、自然発生する、フットワークの軽い,There was spontaneous laughter when the clown fell down. ピエロが転ぶと笑いが自然に起こった,,人,spɑːnˈteɪniəs,,spontaneous
sociable,社交的な,,,人,,,sociable
sincere,正直な、嘘のない,,,人,,,sincere
showy,華やかな、派手な、目を引く、見栄っ張りな,,,"人, 良さ",,,showy
show-off,目立ちたがり,,,人,,,show-off
selfish,,,,人,,,selfish
"repeat
repetitive
repeatable
repeatedly","もう一度言う、再び起こる、繰り返す、繰り返し
繰り返しの、反復的な
繰り返される、再現可能な
何度も","Would you please repeat the name? もう一度お名前をお願いします
This phrase is repeated at intervals throughout the song. このフレーズは曲中で何度も繰り返される
The seminar instructor provided so much repetitive information that attendees felt they had not leaned much from her session. セミナー講師の情報の繰り返しが多かったので、受講者たちは彼女の講義から学ぶことが少ないと感じた
Ukrainian officials have repeatedly accused Russia of launching attacks to block civilian evacuations from Mariupol.",,"人, 論理",rɪˈpetətɪv,,repeat
relalistic,現実的な,,,人,,,relalistic
popular (with ladies),(女性に)人気がある、モテる,,,人,,,popular (with ladies)
pessimistic,悲観的な,,,人,,,pessimistic
"persuade
persuade sb to do
persuade sb into A
persuasive","説得する
〜に〜するよう説得する
〜に〜に入るよう?説得する
説得力のある","Try to persuade him to come.
He eventually managed to persuade one of the staff to let him in. 結局スタッフの一人をなんとか説得して入れてもらった
I didn't want to go, but my friends persuaded me into it.
I persuaded my kid to see a doctor. 子供を病院に行くように説得した",,人,,,persuade
patient / impatient,忍耐強い / せっかちな,,,人,,,patient / impatient
passive,受け身な、消極的な,,,人,,,passive
outgoing,社交的な、出ていくような、退任する,"I can serve customers with a friendly, outgoing attitude. 私は明るく元気の良い接客をすることができます
A handsome present was given to the outgoing president. 退任する学長に立派な記念品が贈られた",,人,,,outgoing
organized,計画的な,,,人,,,organized
optimistic,楽観的な,,,人,,,optimistic
open-minded,柔軟な、寛大な、新しいものを受け入れる,,,人,,,open-minded
novice,初心者、新米の、駆け出しの,Novice programmers sometimes make fundamental errors. 新米のプログラマは時折基本的なミスをする,,人,,,novice
"not the kind[type] of person to do
not the kind[type] of person who does",〜するような人ではない,,,人,,,not the kind[type] of person to do
newbie,初心者,,,人,,,newbie
neat,綺麗好きな,,,人,,,neat
meticulous,几帳面な、気を配る、慎重な、細かすぎる,,,人,,,meticulous
mean,意味する、〜のつもりで言う、〜のはずである、予定している、意地悪な、卑劣な,,,人,,,mean
"mature
immature","熟した、成熟した、大人な、熟慮した
未熟な、子供っぽい","She made a mature decision to start working.
She looks mature but she is only 14 years old.
Boys at that age are so immature.","[food]
person
decision
plan",人,,,mature
loud,声が大きい,,,人,,,loud
loose,ずぼらな,,,人,,,loose
leader,,,,人,,,leader
laid-back,穏やかな、落ち着いた、温厚な,,,人,,,laid-back
knowledgeable,物知りの,,,人,,,knowledgeable
introvert,内向的な人,,,人,,,introvert
influential,,Jacobson's one of the most influential people in New York.,,人,,,influential
"ideal
idealist
idealistic
idealism","理想的な
理想家
理想主義的な
理想主義",,,"人, 良さ",,,ideal
humble,謙虚な,,,人,,,humble
hardworking,勤勉な、よく働く,,,人,,,hardworking
good-looking,イケメンの、ルックスが良い,,,人,,,good-looking
good listener,聞き上手な人,,,人,,,good listener
get mad easily,短気な、すぐ怒る,,,人,,,get mad easily
get bored (of things) easily,飽き性な,,,人,,,get bored (of things) easily
gentle,優しい、穏やかな,,,人,,,gentle
"generous
generously
generosity","気前の良い、寛大な、心が広い、大幅な
気前よく、たっぷり
気前の良さ、寛大さ","My boyfriend is a really generous person, and a lot of people take advantage of that. 私の彼氏は寛容すぎるから、みんなに利用されちゃうの
You shouldn't take people's generosity for granted.",,人,,,generous
forgiving,寛大な,,,人,,,forgiving
extrovert,外交的な人,She's a real extrovert and loves to socialize and meet new people. 彼女は本当に外向的・社交的で、新しい人に会うのが大好きです,,人,,,extrovert
enthusiast,愛好家、マニア,,,人,,,enthusiast
entertaining,面白い、周りを楽しませる,,,人,,,entertaining
energetic,エネルギッシュな,,,人,,,energetic
eloquent,雄弁な,,,人,,,eloquent
educated,教養のある,,,人,,,educated
diligent,勤勉な,,,人,,,diligent
"deliberate
deliberately","熟考する、慎重な、計画的な、故意の
慎重に、計画的に、意図的に","She spoke in a slow and deliberate way.
The fire had been started deliberately. その火事は放火によって発生したのである",,人,,,deliberate
"dedicate
dedicated","捧げる
献身的な、忠誠な",I decided to dedicate at least three hours to studying English every day.,,人,,,dedicate
"coward
cowardly","臆病者
臆病な、卑怯な",,,人,,,coward
cooperative,協力的な,,,人,,,cooperative
conservative,保守的な,"*My father is really conservative, so I didn't consult him about my going to Canada except the first once.",,"人, 政治",,,conservative
chilly,寒い、ひんやりとした、冷淡な,,,人,,,chilly
"childish
childlike","子供っぽい(-)
子供のような(+)、純真な",,,人,,,childish
cheap,ケチな,,,人,,,cheap
"charisma
charismatic","魅力、カリスマ性
カリスマ性のある","The President has great personal charisma.
He lacked the charisma and charm of his predecessor.
charismatic personality
Hashimoto was a very charismatic politician.
Few were able to resist this charismatic and persuasive leader.",,人,kærɪzˈmætɪk,,charisma
cautious,慎重な、用心深い,"The government has been cautious in its response to the report.
They've taken a very cautious approach. 彼らは慎重なアプローチをとっています
He was very cautious about committing himself to anything. 彼は何かに打ち込むことにとても慎重だった",,人,,,cautious
calm,穏やかな、落ち着いた,,,人,,,calm
brutal,残酷な、残忍な、野蛮な、厳しい、極めて率直な,With brutal honesty she told him she did not love him.,"crime
murder
killer
battle
violence
cold/heat
condition
news",人,,,brutal
book smart,勉強しかできない子、世間知らず,,単語,人,,,book smart
"attention
attentive
attentively
attentiveness","注目、関心、注意、世話
傾聴した、気を配っている
注意深く、気を配って","The hotel staff are friendly and attentive.
I wasn't really attentive in class when I was a kid.",,人,,,attention
"ambition
ambitious","野望、夢
野心的な、熱望して","My ambition is to become a millionaire, even though I only have 300 yen in my wallet right now.",,"人, 未来",,,ambition
aggressive,攻撃的な、活発な,"He gets aggressive when he's drunk.
She warned that her dog was aggressive towards strangers.
We need to get more aggressive in our approach. 私たちはもっと攻めた方法を取る必要がある
Doctors diagnosed her with a rare and aggressive cancer, which was feared to be incurable. 医師は、彼女が希少で悪性のがんであり、治らない病気であると診断しました",,人,,,aggressive
adventurous,大胆な、冒険的な,,,人,,,adventurous
"adapt
adaptive
adaptable
adaptability
adaptation","合わせる、適応する
順応性のある
順応できる
順応性
順応、適応、変更",,,人,,,adapt
tempted to do,〜したくなる,I'm tempted to smoke when I feel depressed. 落ち込んでるとたばこを吸いたくなる,,好み,,,tempted to do
"taste
tasty","味、味覚、センス、好み、テイスト
美味しい","I've lost my sense of taste.
The music was too modern for my taste.
I'm not really into new cars - old vintage cars are more to my taste.
Modern art is not to everyone's taste.",,好み,,,taste
"prefer A to B
preferable","BよりAが好き
好ましい",It is preferable to install anti-virus software. ウィルス対策ソフトを入れておく方が好ましいです,汎用,"好み, 良さ",,,prefer A to B
obsessed with A,〜で頭がいっぱいである,,汎用,好み,,,obsessed with A
not my thing,〜はあまり好きではない、私の好みではない,,,好み,,,not my thing
lose oneself (in A),夢中になる、没頭する,"I enjoy losing myself in a good book.
I lost myself in my work and lost track of time.
Sometimes I zone out and lose myself in my thought.",,"好み, 未来",,,lose oneself (in A)
long to do,〜するのを熱望している,I long to get married. 結婚に憧れている,汎用,"好み, 未来",,,long to do
long for A,Aに憧れている、Aを待ち遠しく思う,"I long for world peace. 私は世界平和を熱望しています
Where is a place that you long for? あなたの憧れの地はどこですか？",汎用,"好み, 未来",,,long for A
keen on A,〜に熱中している,,汎用,好み,,,keen on A
"just out of curiosity
just for my curiosity",好奇心からお尋ねしますが,"I went along to watch the ceremony, more out of curiosity than anything else.",,好み,,,just out of curiosity
"indifferent
indiffrerence","無関心な
無関心","I'm indifferent to politics.
He appeared indifferent to her suffering.
Most staff were indifferent about the plans.
A little jealousy may be a positive thing because indifference can kill a relationship. 無関心でいると関係が壊れてしまうので、多少の嫉妬はプラスに働くかもしれません",,"人, 好み",,,indifferent
have a soft spot for A,Aに目がない,,汎用,好み,,,have a soft spot for A
enthusiastic about A,Aに熱中している,,汎用,好み,,,enthusiastic about A
desperate,自暴自棄な、やけくそな、欲しくてたまらない,He's desperate to get a job. 彼は必死に職を求めている,,好み,,,desperate
"dedicated to sth
dedicate oneself to do",〜に専心する、身を捧げる,"I'm dedicated to this project, but I'm not going to put in the extra hours if nobody else is.",,好み,,,dedicated to sth
crazy about A,〜に熱狂している,,汎用,好み,,,crazy about A
"compel
compelling
compulsory
compulsive","強制させる
強制的な、やむをえない、人を惹きつける
義務的な、強制的な
やめられない","The law can compel fathers to make regular payments for their children.
His eyes were strangely compelling.
I'm not going to take the training if it's not compulsory. その研修、義務じゃないなら受けるのやめておくよ
American history is a compulsory subject in our school.
I have a problem with compulsive snacking. お菓子を食べるのがやめられないんだ",,"人, 好み, 良さ",,,compel
addicted to A,〜にハマっている、依存している,,汎用,好み,,,addicted to A
A is my kind of thing,〜は私が好きそうなものである、〜が好きだ,,,好み,,,A is my kind of thing
"practical
practitioner",手際の良い、実務肌の、実践的な,,,"人, 職業",,,practical
"manage
manager
managerial","管理する
管理者、経営者
管理の、経営の",Previous managerial experience is required for this job post.,,"ビジネス, 人, 職業",,,manage
to make things worse,さらに悪いことには,,,接続,,,to make things worse
jokes[joking] aside,冗談はさておき,,,接続,,,jokes[joking] aside
that aside,それは置いておいて,,,接続,,,that aside
That's sweet.,いいね,"Did you hear that Nina sent me flowers at the office? - Oh, that's sweet. I know she thinks of you as a second mother.""
I just got a brand new 55-inch TV! - Whoa, that's sweet.",,相槌,,,That's sweet.
That’s fair.,なるほどね,"I live in the countryside and I never speak English. For me, there’s no point in learning English. - That’s fair. But don’t you like to travel? Don’t you think it’d be useful to speak English when you’re travelling?",,相槌,,,That’s fair.
I’ve been there.,わかる、その通りだよ、自分も知っているよ,The job interviews are very tiring. - I know it! I've been there.,,相槌,,,I’ve been there.
You deverve it.,頑張ってたもんね、自業自得だよ,"I got a promotion at work! - Congratulations! You deserve it!
I got caught cheating on the test and now I have to retake it. - Well, you deserve it for cheating.",,相槌,,,You deverve it.
starting to do,〜し始めた、今にも〜しようとしている,"It's starting to cool off. 涼しくなってきましたね
I am starting to get nervous again. また緊張し始めた
My boss is starting to get edgy. 上司がイライラしてきた",,未来,,,starting to do
put one's mind to A,〜に本気で取り組む,,,未来,,,put one's mind to A
"plan to do
plan on doing",〜をする予定である,,汎用,未来,,,plan to do
looking to do,〜をしようかなと思っている,"I‘m looking to start my own business.
Hi, I‘m looking to come and stay with you.",汎用,未来,,,looking to do
dying to do,死ぬほど〜したい,,汎用,未来,,,dying to do
bucket list,,Travelling to India has been on my bucket list for years.,,未来,,,bucket list
"at the top of the list
high up on my list of A","最優先
本当に〜したい〜","I don’t have time to go on dates! Right now, my career is at the top of the list. デートする時間はありません 今はキャリアが最優先です
It’s definitely high up in my list of places to go. そこは私が本当に行きたいところです",,未来,,,at the top of the list
"anxious to do
anxious for A to do","〜するのを切望する
〜が〜するのを切望する","He was anxious to return to his country.
She's anxious for her son to get a job. 彼女は息子が就職することを切に望んでいる
I’m very anxious to see you sometime next month.
I’m anxious to find out if we’re having a boy or a girl.",,未来,,,anxious to do
splendid,素晴らしい,That’s a splendid idea!,,良さ,,,splendid
"excel
excellent","優れている、秀でている
非常に優れた、素晴らしい",,,良さ,,,excel
worthwhile,,,,良さ,,,worthwhile
"waste
wasteful
go to waste","廃棄物、ごみ、無駄遣い、浪費、無駄にする、浪費する、廃物の
無駄の多い
無駄になる","Going paperless will significantly reduce the amount of waste that our company produces.
You should stop wasting your money on drinking every night.
I'm not going to waste any more time on the problem.
His talents are wasted in that job.
*Watching YouTube is waste of time.","money
time
talent",良さ,,,waste
unpleasant,好ましくない,,,良さ,,,unpleasant
unacceptable,,,,良さ,,,unacceptable
superior to A,〜より優れている,,,"良さ, 論理",,,superior to A
